MVC;MVVM;MVC;MVVM;MVC;MVVM
566;500;385;261;406;291
1012;803;70;117;541;463
1012;805;62;54;541;250
315;238;319;324;541;454
658;607;101;48;541;210
864;608;339;55;286;346
307;216;74;56;316;206
617;582;63;50;286;340
796;584;352;113;286;236
266;242;57;102;286;356
448;557;379;292;314;224
447;557;139;106;408;356
248;191;86;55;408;208
584;551;89;56;408;346
585;552;128;51;267;243
244;225;86;114;429;367
579;573;82;103;337;207
718;575;136;81;574;337
303;257;83;52;337;227
303;632;114;55;337;372
778;771;346;269;337;277
348;279;106;77;295;425
661;308;62;93;324;268
814;748;71;55;339;394
341;223;82;58;372;317
681;415;75;78;292;405
683;414;69;58;529;198
422;251;72;57;322;326
712;556;60;55;400;209
713;556;109;69;431;337
